TAG,RECORD,SUMLEV,NAME,POPULATION,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073
US,0000021,040,Connecticut,3605944,3605944,3273040,2395128,388675,16051,172455,1598,299133,332904,313228,36315,25191,24100,853,191978,4947,2021,469,20121,356,87,3197,639,1839,1115,16883,4629,1111,75,5315,449,36,2516,462,975,119,152,20,641,35,177,49,8,36,21,57,2583,310,62,1879,45,130,18,39,54,5,19,10,5,0,6,1,185,76,87,8,2,11,1,25,25,3605944,623293,2982651,2845082,2279232,360937,6404,170459,974,27076,137569,129834,30832,22929,23135,778,38125,4054,1798,410,5592,308,40,187,586,921,139,7090,3160,927,63,1264,370,25,154,425,249,9,122,14,105,27,123,20,7,15,0,11,558,205,33,195,33,44,8,19,2,3,5,8,0,0,2,1,76,47,25,1,2,0,1,11,11
US,0000022,040,Delaware,989948,989948,913430,597763,218899,5148,42699,412,48509,76518,71461,14610,9586,5480,310,32669,2662,911,147,3811,107,12,613,132,310,101,4488,1842,434,25,841,177,31,546,160,157,27,74,29,88,26,10,2,4,4,0,11,522,123,8,272,18,24,16,10,9,0,13,4,4,0,17,4,42,11,19,0,12,0,0,5,5,989948,104290,885658,842635,579851,212960,2521,42398,304,4601,43023,40061,13511,8993,5319,289,6708,2453,870,141,1338,92,1,45,131,160,10,2742,1569,367,19,210,150,28,59,151,40,12,63,27,14,14,8,0,0,1,0,10,194,89,8,41,6,17,5,9,0,0,0,0,0,0,16,3,21,8,6,0,7,0,0,5,5
US,0000023,040,District of Columbia,689545,689545,633468,273194,285810,3193,33545,432,37294,56077,51147,7543,2212,8646,247,23425,2334,1340,112,3856,70,20,767,190,300,85,4262,1379,394,23,792,88,3,781,153,273,15,63,39,127,32,49,27,2,0,4,18,613,129,8,354,14,51,1,1,21,3,16,9,3,0,3,0,51,20,18,0,4,4,5,4,4,689545,77652,611893,582408,261771,282066,1277,33192,349,3753,29485,26897,7099,1697,8414,196,3702,2189,1284,108,1751,62,18,41,168,165,3,2335,1115,350,20,329,70,1,30,134,61,4,54,34,49,32,32,15,2,0,0,3,230,102,5,68,11,34,1,1,0,0,3,4,1,0,0,0,23,13,1,0,4,4,1,0,0
US,0000024,040,Florida,21538187,21538187,17986115,12422961,3246381,94795,643682,14014,1564282,3552072,3428042,200545,192576,122838,7435,2694902,19086,20991,4320,127918,1859,393,14987,4389,11730,4073,106458,19129,9588,862,32695,4204,537,18348,3696,9942,854,541,132,2680,826,1589,322,93,177,35,208,16177,1800,244,10372,344,1751,137,296,547,63,271,81,118,14,116,23,1263,353,719,90,40,25,36,132,132,21538187,5697240,15840947,15048804,11100503,3127052,42169,629626,11521,137933,792143,748754,174146,174875,113998,6677,196605,16122,19349,4015,29360,1487,229,850,3929,6152,960,39297,12773,8185,718,4855,3442,454,924,3284,1625,165,439,94,342,657,951,171,67,42,2,107,3582,1287,154,727,276,527,51,209,52,16,72,59,42,12,85,13,472,227,182,17,16,5,25,38,38
US,0000025,040,Georgia,10711908,10711908,9968000,5555483,3320513,50618,479028,7299,555059,743908,698142,115782,106685,55138,3094,333782,19655,11481,1812,36334,1007,147,7360,1680,3398,787,40179,13019,4196,462,7178,1892,242,6817,1473,1931,185,490,101,1017,397,504,110,40,42,6,77,4971,1173,159,2453,154,352,40,176,191,30,71,61,40,13,56,2,551,193,270,22,11,22,33,65,65,10711908,1123457,9588451,9198318,5362156,3278119,20375,475680,6101,55887,390133,364408,108945,100550,53152,2893,46546,18303,10844,1652,16359,829,90,402,1553,2049,241,23121,10993,3760,417,2096,1665,207,503,1321,439,54,411,93,398,314,307,62,27,17,3,34,2250,945,108,594,128,164,18,147,23,1,11,34,25,5,45,2,321,141,126,8,8,9,29,33,33
US,0000026,040,Hawaii,1455271,1455271,1087142,333261,23417,4370,541902,157445,26747,368129,231504,5615,11279,71907,34670,20218,800,2779,1736,929,1010,930,439,75347,2842,1003,118847,1511,1433,911,576,4244,2019,1147,99170,2728,1076,218,99,67,1245,83,32,1177,53,16,1042,15969,666,302,340,2156,116,62,8521,310,83,3112,216,24,3,44,14,1733,998,138,25,139,406,27,76,76,1455271,138923,1316348,1024458,314365,21877,2321,531558,149054,5283,291890,190229,4913,9458,65223,30880,5319,651,2522,1502,343,598,702,42,66943,722,411,92835,1141,1180,728,189,3012,1517,78,82470,316,152,175,68,14,968,29,14,631,5,9,139,8106,456,217,70,1455,34,25,5302,42,10,326,135,10,3,21,0,710,558,48,1,53,38,12,10,10
US,0000027,040,Idaho,1839106,1839106,1685901,1510360,15726,25621,26836,3726,103632,153205,145443,7906,32995,15980,2696,81703,433,236,85,625,203,104,1365,591,384,137,6992,1022,330,85,575,693,162,2248,1156,494,109,14,6,29,8,16,3,18,3,5,16,649,100,27,180,48,27,6,109,46,10,45,22,13,0,7,9,82,38,18,12,6,5,3,39,39,1839106,239407,1599699,1521891,1450523,14785,18903,26036,3401,8243,77808,74258,7163,29459,15020,2489,18296,331,213,75,223,143,72,73,532,143,26,3218,790,279,77,140,553,131,97,1009,70,16,10,1,2,7,5,3,13,1,5,9,282,52,15,40,41,17,1,79,6,6,3,13,4,0,4,1,36,16,8,3,1,5,3,14,14
US,0000028,040,Illinois,12812508,12812508,11667524,7868227,1808271,96498,754878,4501,1135149,1144984,1087260,111307,107871,90923,3101,697568,12187,6283,716,23028,1470,168,23158,2673,5233,1574,51574,11661,2761,286,8170,2026,187,18641,1694,3603,255,391,103,904,227,286,76,27,113,43,120,5396,963,122,3171,117,294,16,136,296,12,130,33,34,14,42,16,670,301,301,35,14,4,15,84,84,12812508,2337410,10475098,10060243,7472751,1775612,16561,747280,2959,45080,414855,393661,101879,93073,86529,2809,77886,10664,5868,637,8463,1154,82,324,2454,1681,158,19175,9072,2397,257,2035,1591,146,400,1503,590,47,320,92,264,178,166,33,13,22,6,43,1701,708,75,495,83,90,9,96,14,0,58,27,8,7,22,9,278,165,93,11,9,0,0,40,40
US,0000029,040,Indiana,6785528,6785528,6348802,5241795,648513,26086,167959,3137,261312,436726,414856,81420,90589,31442,2300,184637,4870,2177,381,8306,342,58,2919,3589,1443,383,19796,7003,1615,225,3161,968,177,4218,871,851,117,66,19,227,76,75,41,9,18,5,54,1784,430,91,835,59,67,17,80,77,20,40,27,12,1,15,13,262,149,80,16,7,2,8,28,28,6785528,554191,6231337,5965993,5121004,637500,12938,166651,2761,25139,265344,252911,77032,85633,30294,2145,42398,4428,2077,357,3683,274,47,118,3545,829,51,11486,6070,1459,205,1080,825,146,323,782,224,37,57,15,93,62,31,17,6,10,0,44,782,359,57,156,58,18,6,48,15,4,20,19,6,1,11,4,148,100,30,4,6,1,7,17,17
US,0000030,040,Iowa,3190369,3190369,3011086,2694521,131972,14486,75629,5758,88720,179283,170730,31415,33145,15391,1121,81757,1430,757,94,1860,180,40,1039,1816,577,108,7817,2828,596,135,1007,416,42,1561,529,350,62,52,13,76,68,45,12,11,5,4,5,609,140,42,237,24,34,16,36,41,4,19,3,0,0,7,6,111,60,29,3,6,2,11,16,16,3190369,215986,2974383,2865710,2638201,129321,9079,75017,5605,8487,108673,103660,29655,30696,14825,1058,22167,1273,708,85,871,151,19,37,1775,298,42,4640,2424,540,105,308,355,30,126,495,78,21,47,11,21,44,15,2,11,0,4,3,309,111,28,60,22,17,6,27,9,3,12,1,0,0,7,6,59,41,13,2,0,2,1,5,5
